Rk,Date,Age,Team,,Opponent,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
11,2016-12-08,17-284,Real Madrid,,Zalgiris,W,25:48,5,8,.625,3,5,.600,4,4,1.000,1,3,4,4,2,1,2,2,17,17.7
12,2016-12-15,17-291,Real Madrid,@,Darussafaka Dogus,L,23:37,2,9,.222,2,5,.400,2,2,1.000,2,4,6,6,0,0,4,3,8,4.1
13,2016-12-20,17-296,Real Madrid,,Brose Bamberg,W,19:11,6,11,.545,3,5,.600,1,1,1.000,0,6,6,5,3,0,2,0,16,17.0
14,2016-12-22,17-298,Real Madrid,@,Crvena Zvezda mts,L,11:52,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,2,0,3,0.3
15,2016-12-29,17-305,Real Madrid,@,Anadolu Efes,W,23:00,7,10,.700,3,4,.750,0,0,,0,5,5,9,0,0,1,0,17,19.6
16,2017-01-06,17-313,Real Madrid,,CSKA Moscow,W,24:32,2,5,.400,2,5,.400,3,6,.500,0,1,1,5,1,1,1,1,9,9.2
17,2017-01-13,17-320,Real Madrid,,Maccabi FOX Tel Aviv,W,25:56,3,5,.600,1,3,.333,3,4,.750,1,10,11,8,1,0,0,0,10,17.6
18,2017-01-20,17-327,Real Madrid,@,Zalgiris,W,28:26,2,8,.250,2,7,.286,0,0,,2,3,5,4,1,0,2,0,6,5.3
19,2017-01-27,17-334,Real Madrid,,EA7 Emporio Armani Milan,W,18:50,5,6,.833,3,3,1.000,4,4,1.000,1,2,3,1,1,2,2,1,17,16.8
20,2017-02-03,17-341,Real Madrid,@,Baskonia,W,24:44,5,10,.500,2,4,.500,4,4,1.000,3,6,9,6,0,0,0,1,16,18.7
21,2017-02-09,17-347,Real Madrid,@,UNICS,W,24:14,2,5,.400,0,2,.000,1,2,.500,1,6,7,11,0,0,2,2,5,9.3
22,2017-02-24,17-362,Real Madrid,,Darussafaka Dogus,W,14:26,2,8,.250,1,3,.333,0,0,,2,3,5,7,0,0,1,1,5,6.0
23,2017-03-02,18-002,Real Madrid,@,Galatasaray Odeabank,L,22:08,5,7,.714,3,4,.750,0,0,,3,5,8,8,0,0,2,1,13,16.9
24,2017-03-10,18-010,Real Madrid,,Crvena Zvezda mts,W,19:24,3,4,.750,1,1,1.000,0,0,,0,4,4,5,2,0,2,0,7,10.1
25,2017-03-16,18-016,Real Madrid,@,Panathinaikos Superfoods,L,22:24,3,10,.300,1,4,.250,3,3,1.000,0,2,2,1,0,0,1,2,10,3.7
26,2017-03-22,18-022,Real Madrid,,FC Barcelona Lassa,W,20:42,2,5,.400,0,2,.000,1,2,.500,2,4,6,4,3,0,0,0,5,10.3
27,2017-03-24,18-024,Real Madrid,@,Olympiacos,W,19:04,1,4,.250,0,2,.000,2,2,1.000,0,3,3,3,2,0,3,3,4,2.4
28,2017-03-31,18-031,Real Madrid,,Fenerbahce,W,17:29,2,4,.500,1,3,.333,0,0,,1,4,5,1,1,0,2,1,5,4.2
29,2017-04-07,18-038,Real Madrid,,Anadolu Efes,W,21:52,3,6,.500,1,2,.500,1,2,.500,2,4,6,11,1,1,5,1,8,11.2
30,2017-04-19,18-050,Real Madrid,,Darussafaka Dogus,W,24:31,1,4,.250,0,2,.000,2,2,1.000,0,4,4,3,1,0,2,2,4,3.1
31,2017-04-21,18-052,Real Madrid,,Darussafaka Dogus,L,10:46,0,4,.000,0,1,.000,0,0,,1,4,5,6,1,0,0,2,0,3.5
32,2017-04-26,18-057,Real Madrid,@,Darussafaka Dogus,W,26:21,5,8,.625,2,5,.400,1,1,1.000,3,5,8,2,1,0,0,1,13,15.0
33,2017-04-28,18-059,Real Madrid,@,Darussafaka Dogus,W,29:45,2,5,.400,1,4,.250,6,8,.750,0,5,5,7,1,0,3,1,11,11.5
34,2017-05-19,18-080,Real Madrid,@,Fenerbahce,L,17:19,0,6,.000,0,3,.000,0,0,,0,2,2,3,0,0,3,1,0,-4.9
35,2017-05-21,18-082,Real Madrid,,CSKA Moscow,L,21:50,0,3,.000,0,2,.000,6,6,1.000,0,4,4,2,0,0,3,1,6,3.1
